emp_id_key,emp_alias,start_date,end_date,hourly_rate
13,AGA01,2024-09-01,2026-08-02,38.00
14,ATS01,2019-01-01,2026-04-12,33.00
14,ATS01,2026-04-13,2026-08-02,38.00
7,CFE01,2019-01-01,2026-04-12,38.00
7,CFE01,2019-01-01,2026-04-12,38.00
4,CAL01,2019-01-01,2026-04-12,38.00
4,CAL01,2019-01-01,2026-04-12,45.00
4,CAL01,2019-01-01,2026-08-02,45.00
10,IGR01,2019-01-01,2026-04-12,38.00
10,IGR01,2019-01-01,2026-04-12,45.00
10,IGR01,2019-01-01,2026-04-12,45.00
8,JFE01,2019-01-01,2026-04-12,38.00
9,LGR01,2019-01-01,2025-07-26,30.00
9,LGR01,2019-01-01,2025-07-26,30.00
9,LGR01,2025-07-27,2026-04-12,35.00
9,LGR01,2025-07-27,2026-04-12,35.00
5,MAB01,2019-01-01,2026-04-12,35.00
18,MSK01,2019-01-01,2026-04-12,35.00
11,RVI01,2019-01-01,2024-07-15,45.00
11,RVI01,2019-01-01,2024-07-15,38.00
11,RVI01,2019-01-01,2024-07-15,45.00
11,RVI01,2019-01-01,2024-07-15,45.00
12,SLA01,2019-01-01,2026-04-12,33.00
6,TCI01,2019-01-01,2026-04-12,33.00
6,TCI01,2026-04-13,2026-08-02,38.00
15,ZNE01,2019-01-01,2026-04-12,33.00
7,CFE01,2026-04-13,2026-08-02,42.00
7,CFE01,2026-04-13,2026-08-02,42.00
4,CAL01,2026-04-13,2026-08-02,42.00
4,CAL01,2025-01-01,2026-08-02,45.00
4,CAL01,2026-04-13,2026-08-02,50.00
10,IGR01,2026-04-13,2026-08-02,42.00
10,IGR01,2026-04-13,2026-08-02,55.00
10,IGR01,2026-04-13,2026-08-02,55.00
8,JFE01,2026-04-13,2026-08-02,42.00
9,LGR01,2026-04-13,2026-08-02,38.00
9,LGR01,2026-04-13,2026-08-02,38.00
5,MAB01,2026-04-13,2026-08-02,38.00
18,MSK01,2026-04-13,2026-08-02,38.00
12,SLA01,2026-04-13,2026-08-02,35.00
15,ZNE01,2026-04-13,2026-08-02,35.00
2,DBE01,2019-01-01,2026-04-12,89.00
